7zip 25.01-1
python-termcolor 3.2.0-1
python-tqdm 4.67.1-2
python-typing_extensions 4.15.0-1
python-urllib3 2.5.0-2
python-urwid 3.0.3-1
python-vdf 4.0-2
python-wcwidth 0.2.14-1
python-wheel 0.45.1-1
python-yaml 6.0.3-1
python-zstandard 0.25.0-1
python311 3.11.13-2
qemu-base 10.1.2-2
qemu-common 10.1.2-2
qemu-img 10.1.2-2
qemu-system-x86 10.1.2-2
qemu-system-x86-firmware 10.1.2-2
qhull 2020.2-5
qogir-gtk-theme 2024.05.22-1
qogir-icon-theme 2023.06.05-1
qrcodegencpp-cmake 1.8.0-4
qt5-base 5.15.18+kde+r109-2
qt5-translations 5.15.18-1
qt6-base 6.10.1-1
qt6-declarative 6.10.1-1
qt6-svg 6.10.1-1
qt6-tools 6.10.1-1
qt6-translations 6.10.1-1
qt6-wayland 6.10.1-1
radeontop 1.4-3
rav1e 0.8.1-2
rdma-core 60.0-2
re2 1:20240702-7
readline 8.3.001-1
rhash 1.4.6-1
ripgrep 15.1.0-1
rnnoise 1:0.2-1
rofi 2.0.0-1
rofi-lbonn-wayland-git-debug 1.7.9.wayland1.r0.g07955bf9-1
rtkit 0.13-3
rubberband 4.0.0-1
runc 1.4.0-1
rust 1:1.91.1-2
sassc 3.6.2-5
sbc 2.1-1
scdoc 1.11.4-1
sdbus-cpp 2.2.1-1
sddm 0.21.0-6
sdl2-compat 2.32.58-1
sdl3 3.2.26-1
seabios 1.17.0-2
seatd 0.9.1-1
sed 4.9-3
semver 7.7.3-1
serd 0.32.6-1
shaderc 2025.4-2
shadow 4.18.0-1
shared-mime-info 2.4-2
